월일,탄생화 (月),탄생화(日),탄생화 (영문),꽃말,탄생석 (月),의미 (月),탄생석(日),의미 (日),탄생목,의미,별자리 (탄생좌),수호신,수호성,탄생색,색상 코드,색 이름,색 단어,퍼스널리티
6월 14일,장미 자스민 토끼풀,뚜껑 별꽃,Anagallis,추상,진주,"순결, 부귀, 건강",시프린,견식,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F8F4E6,아이보리 / 로맨스,"신뢰, 성실, 보수적",중간입장에서는 신중한 사람
6월 15일,장미 자스민 토끼풀,카네이션,Carnation,정열,진주,"순결, 부귀, 건강",옐로우 재스퍼,여행의 안전,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F7B894,라이트 애프리콧 / 맨디스 핑크,"인내심 강함, 맹돌진",철저한 성실성이 장점인 사람
6월 16일,장미 자스민 토끼풀,튜베로스,Tube Rose,위험한 쾌락,진주,"순결, 부귀, 건강",블루 오팔,상쾌한 애정표현,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#C39143,황토색 / 안자크,"평가, 끈기있음",노력으로 목표를 달정하는 노력형
6월 17일,장미 자스민 토끼풀,토끼풀,Clover,감화,진주,"순결, 부귀, 건강",넵튜나이트,생명의 영속성,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#E29399,올드 로즈 / 웨와크,"정신적 안정, 일이 취미",경험을 지식과 기술로 갖춘 사람
6월 18일,장미 자스민 토끼풀,백리향,Thyme,용기,진주,"순결, 부귀, 건강",아르젠타이트,사악함으로부터의 방어,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#724943,마호가니 브라운 / 볼,"자신,침착함, 자연",유머 센스가 넘치는 견실한 사람
6월 19일,장미 자스민 토끼풀,장미,Sweet Brier,사랑,진주,"순결, 부귀, 건강",블랙스타 사파이어,진혼,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FCD575,달걀색 / 살로미,"스포츠, 건강, 조직",스포츠를 좋아하는 노력가
6월 20일,장미 자스민 토끼풀,꼬리풀,Speedwell,달성,진주,"순결, 부귀, 건강",그린 플로라이트,숨은 미덕,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F19D45,선라이트 옐로 / 씨 벅손,"사교적, 친구, 에너지",항상 행동으로 선도하는 모범생
6월 21일,장미 자스민 토끼풀,달맞이꽃,Evening Primrose,자유스러운 마음,진주,"순결, 부귀, 건강",서펀틴,보호,무화과나무,감수성,쌍둥이자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#F39800,금차색 / 오렌지 필,"예술, 스포츠, 미식가",요리도구도 따지는 미식가
6월 22일,장미 자스민 토끼풀,가막살나무,Vihurnum,사랑은 죽음보다 강하다,진주,"순결, 부귀, 건강",선스톤,광채,무화과나무,감수성,게자리,달의 여신 아르테미스,달,,#973B2C,가넷 브라운 / 티아 마리아,"에너지, 무아, 수다쟁이",사람을 좋아하고 애교 많은 발랄한 사람
6월 23일,장미 자스민 토끼풀,접시꽃,Holly Hock,열렬한 연애,진주,"순결, 부귀, 건강",안욜라이트,소극적인 사랑,무화과나무,감수성,게자리,달의 여신 아르테미스,달,,#773C30,적갈색 / 크아룬 오브 쏜,"희망, 향상심, 지도력",인생경험으로 원숙하고 관대한 사람
6월 24일,장미 자스민 토끼풀,바베나,Garden Verbena,가족의 화합,진주,"순결, 부귀, 건강",워터 오팔,처녀의 연심,자작나무,영감,게자리,달의 여신 아르테미스,달,,#F9BDC5,라이트 오키드 핑크 / 아자레아,"미소, 상냥함, 영원",요정처럼 기품 넘치는 사람
6월 25일,장미 자스민 토끼풀,나팔꽃,Morning Glory,덧없는 사랑,진주,"순결, 부귀, 건강",말라카이트,통찰력과 상상력,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#E1849E,페일 체리 핑크 / 카리스마,"용기, 우아, 안락함",타인의 마음을 사로잡는 신중한 사람
6월 26일,장미 자스민 토끼풀,흰 라일락,Lilac,아름다운 맹세,진주,"순결, 부귀, 건강",스페샬타이트,충실,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#EB5381,카네이션 핑크 / 다크 핑크,"낯 안가림, 숭고",호의적이고 타인에게 사랑받는 영원한 연인
6월 27일,장미 자스민 토끼풀,시계꽃,Passion Flower,성스러운 사랑,진주,"순결, 부귀, 건강",리디코타이트,다채로운 매력,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#F19CA7,로즈 핑크 / 모벨러스,"격한 감정, 외교적",타인이 감격할 찬스를 주는 정열가
6월 28일,장미 자스민 토끼풀,제라늄,Geranium,그대가 있기에 행복이 있네,진주,"순결, 부귀, 건강",블루지르콘,"환각, 꿈꾸는 마음",사과나무,사랑,게자리,달의 여신 아르테미스,달,,#CF0141,페퍼 레드 / 크림슨,"에너지, 밝은 마음",긍정적인 마음가짐으로 사람들에게서 존경받는 재인
6월 29일,장미 자스민 토끼풀,빨강 제라늄,Geranium,그대가 있어 사랑이 있네,진주,"순결, 부귀, 건강",재스퍼,자기 제어,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#BBE2F1,베이비 블루 / 오나호,"평화, 정온,사려깊음",타인의 요구에 곧바로 대응하는 사람
6월 30일,장미 자스민 토끼풀,인동,Honey Suckle,사랑의 인연,진주,"순결, 부귀, 건강",유렉사이트 캣츠 아이,마음의 눈,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#5383C3,연군청색 / 해브락 블루,"개성, 이상, 향상심",주위를 사로잡는 매력의 소유자
7월,,,,,,,,,,,,,,,,,,
7월 1일,금어초 라벤더 향쑥,당양쑥부쟁이,Fig Marigold,태만,루비,"열정적인 사랑, 정의, 마음의 평화",블러드샷아이오라이트,방향의 시사,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#007199,다크 블루 / 세르리언,"평화, 공상, 환경문제",지구를 생명이라 생각하는 환경론자
7월 2일,금어초 라벤더 향쑥,금어초,Snap Dragon,욕망,루비,"열정적인 사랑, 정의, 마음의 평화",배리사이트,자연의 숙성,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#0068B7,코발트 블루 / 네이비 블루,"재주좋음, 섬세",감성 풍부한 세련된 도시파
7월 3일,금어초 라벤더 향쑥,흰색 양귀비,Papaver,망각,루비,"열정적인 사랑, 정의, 마음의 평화",록 크리스탈,유쾌한 마음,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#003F8E,잉크 블루 / 스몰트,"기품, 견디는 자, 자신",타인이 부러워할 정도의 자신가
7월 4일,금어초 라벤더 향쑥,자목련,Lily Magnolia,자연애,루비,"열정적인 사랑, 정의, 마음의 평화",다이옵사이드,행운으로 가는 이정표,사과나무,사랑,게자리,달의 여신 아르테미스,달,,#3FB5D3,아쿠아 / 서머 스카이,"정온 숭고, 자기발전",정신상태를 컨트롤 할 수 있는 사람
7월 5일,금어초 라벤더 향쑥,라벤더,Lavendar,풍부한 향기,루비,"열정적인 사랑, 정의, 마음의 평화",아나테스,미래의 행운,전나무,신비,게자리,달의 여신 아르테미스,달,,#4593A0,페일 삭스 블루 / 히피 블루,"감성, 자유, 감춰진 정열",애정으로 가득한 조용한 성격의 사람
7월 6일,금어초 라벤더 향쑥,해바라기,Sun Flower,애모,루비,"열정적인 사랑, 정의, 마음의 평화",아파치 티어,불가사의,전나무,신비,게자리,달의 여신 아르테미스,달,,#59B9C6,신바시색 / 바이킹,"상황판단, 결정력, 신념",긍정적이며 일도 생활도 즐기는 사람
7월 7일,금어초 라벤더 향쑥,서양까지밥나무,Goose Berry,예상,루비,"열정적인 사랑, 정의, 마음의 평화",스타로즈 쿼츠,만남,전나무,신비,게자리,달의 여신 아르테미스,달,,#016171,블루커널 / 블루 라군,"총명, 대망, 찬스",하나를 들으면 열을 아는 재주 많은 사람
7월 8일,금어초 라벤더 향쑥,버드푸트,Birdfoot,다시 만날 날까지,루비,"열정적인 사랑, 정의, 마음의 평화",밀키 오팔,설레임,전나무,신비,게자리,달의 여신 아르테미스,달,,#006888,마린 블루 / 블루 라군,"다재, 노력, 침착함",노력으로 진리를 추구하는 정열가
7월 9일,금어초 라벤더 향쑥,아이비 제라늄,Ivyleaved Geranium,진실한 애정,루비,"열정적인 사랑, 정의, 마음의 평화",브라운 다이아몬드,불굴의 신념,전나무,신비,게자리,달의 여신 아르테미스,달,,#F7F6F5,펄 화이트 / 씨셸,"비밀, 고독, 정의감",타인이 기대를 걸 좋아하는 고결한 사람
7월 10일,금어초 라벤더 향쑥,초롱꽃,Canterbery Bell,감사,루비,"열정적인 사랑, 정의, 마음의 평화",스포듀언,무한의 사랑,전나무,신비,게자리,달의 여신 아르테미스,달,,#608FC3,페일 파스텔 블루 / 다뉴브,"상냥함, 감미, 겸허",여성의 아름다움을 상징하는 사람
7월 11일,금어초 라벤더 향쑥,아스포델,Asphodel,나는 당신의 것,루비,"열정적인 사랑, 정의, 마음의 평화",크림 펄,새로운 만남,전나무,신비,게자리,달의 여신 아르테미스,달,,#5371AD,라벤더 블루 / 산 마리노,"예의, 심미안, 색채감",사람을 매혹하는 매력의 소유자
7월 12일,금어초 라벤더 향쑥,좁은입배풍동,Solanum,참을 수 없어,루비,"열정적인 사랑, 정의, 마음의 평화",레드 베릴,고차원적인 의식,전나무,신비,게자리,달의 여신 아르테미스,달,,#044182,마죠리나 블루 / 다크 세르리언,"교양, 품격 높음, 행복한 미래",진리를 추구하는 사람들의 지도자
7월 13일,금어초 라벤더 향쑥,잡초의 꽃,Flower of Grass,실제적인 사람,루비,"열정적인 사랑, 정의, 마음의 평화",크리스베릴,광채,전나무,신비,게자리,달의 여신 아르테미스,달,,#192F60,감청색 / 사파이어,"자존심, 멸사봉공, 직관력",불행한 사람을 지나치지 않는 자비로운 사람
7월 14일,금어초 라벤더 향쑥,프록스,Phlox,온화,루비,"열정적인 사랑, 정의, 마음의 평화",쓰리컬러 플로라이트,다면성,전나무,신비,게자리,달의 여신 아르테미스,달,,#FDEDE4,딥 베이비 핑크 / 로즈 화이트,"감성, 진심, 따뜻함",일도 생활도 즐기는 긍정적인 사람
7월 15일,금어초 라벤더 향쑥,들장미,Austrian Briar Rose,사랑스러움,루비,"열정적인 사랑, 정의, 마음의 평화",거사이트,영능력,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#B370A6,페일 모펫 / 부케,"섬세, 암시, 신중함",귀여운 것에 끌리는 아름다운 사람
7월 16일,금어초 라벤더 향쑥,비단향꽃무,Stock,영원한 아름다움,루비,"열정적인 사랑, 정의, 마음의 평화",아이즈라이트,명상력,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#94ADDA,파운틴 블루 / 폴로 블루,"춤과 음악, 자유, 개성",자유분방한 생활을 바라는 사람
7월 17일,금어초 라벤더 향쑥,흰색장미,White Rose,존경,루비,"열정적인 사랑, 정의, 마음의 평화",어벤춰린,빛나는 미래,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#6B76AE,샐비어 블루 / 켓워드 블루,"경영력, 세련, 재치",길을 갈고 닦기 위해 존재하는 여성
7월 18일,금어초 라벤더 향쑥,이끼 장미,Moss Rose,가련함,루비,"열정적인 사랑, 정의, 마음의 평화",래브라도라이트 펠드스퍼,밀희,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#7F1184,로열 퍼플 / 퍼플,"지성, 신비성, 향",도와준 사람을 모두 성공으로 이끄는 사람
7월 19일,금어초 라벤더 향쑥,백부자,Aconite,아름답게 빛나다,루비,"열정적인 사랑, 정의, 마음의 평화",하이드로 로드크로사이트,정의,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#F7A7A0,딥 셸 핑크 / 선다운,"섬세, 즐거움, 따뜻함",언제나 신중하고 변하지 않는 사랑의 소유자
7월 20일,금어초 라벤더 향쑥,가지,Egg Plant,진실,루비,"열정적인 사랑, 정의, 마음의 평화",아쿠아마린 캣츠아이,광명,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#E49E61,벼색 / 포르셰,"배려, 공상, 감수성",우아함의 축복을 받은 요정같은 여성
7월 21일,금어초 라벤더 향쑥,노랑장미,Yellow Rose,아름다움,루비,"열정적인 사랑, 정의, 마음의 평화",블루 재스퍼,감정의 조정,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#C56950,하바나 로즈 / 레드 다마스크,"그윽함, 역동, 모성",아름답고 예의바른 사람
7월 22일,금어초 라벤더 향쑥,패랭이꽃,Superb Pink,사모,루비,"열정적인 사랑, 정의, 마음의 평화",플라워 옵시디언,새로운 출발,느릅나무,고결,게자리,달의 여신 아르테미스,달,,#B94047,연지색 / 올드 로즈,"기지, 향상심, 탄력적",자신의 역량을 깨닫고 갈고 닦는 사람
7월 23일,금어초 라벤더 향쑥,장미,York & Lancaster Rose,아름다움,루비,"열정적인 사랑, 정의, 마음의 평화",워터메론 토르마린,겹치는 행운,느릅나무,고결,사자자리,태양의 신 아폴론,태양,,#B7282E,자주색 / 카디널,"엄격, 가능성, 적극성",세계적 시야를 가진 온건파
7월 24일,금어초 라벤더 향쑥,연령초,Trillum,그윽한 마음,루비,"열정적인 사랑, 정의, 마음의 평화",워더라이트,독과 정화,느릅나무,고결,사자자리,태양의 신 아폴론,태양,,#F5949F,큐피드 핑크 / 웨와크,"미소, 양식, 소질",자연스러운 색기로 도취시키는 미인
7월 25일,금어초 라벤더 향쑥,말오줌나무,Elder-Tree,열심,루비,"열정적인 사랑, 정의, 마음의 평화",쉘,아름다운 맹세,느릅나무,고결,사자자리,태양의 신 아폴론,태양,,#DE82A7,로터스 핑크 / 코비,"영구불변, 헌신과 저항",기품 있는 정신의 소유자
7월 26일,금어초 라벤더 향쑥,향쑥,Wornwood,평화,루비,"열정적인 사랑, 정의, 마음의 평화",퍼실 로랄,정복,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#AF363B,로즈 매더 / 브릭 레드,"경애, 우아, 유머러스",마음에 울리는 언동으로 감동시키는 정열가
7월 27일,금어초 라벤더 향쑥,제라늄,Geranium,진실한 애정,루비,"열정적인 사랑, 정의, 마음의 평화",그레이 다이아몬드,조역부터 출발,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#8D3446,크림슨 / 카멜롯,"경험, 재능, 행동력",여성스러운 성숙이 혼재한 다감한 사람
7월 28일,금어초 라벤더 향쑥,패랭이꽃,Dianthos Superbus,언제나 사랑,루비,"열정적인 사랑, 정의, 마음의 평화",알만다인 스피넬,영혼과의 교류,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#404040,먹감색 / 이클립스,"유머러스, 섬세, 영지",이성과 세련된 정신의 정열가
7월 29일,금어초 라벤더 향쑥,선인장,Cactus,불타는 마음,루비,"열정적인 사랑, 정의, 마음의 평화",블랙 오팔,위협,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#008DB7,세르리언 블루 / 본디 블루,"성실, 영감, 배려",진심으로 사람을 대하는 상냥한 사람
7월 30일,금어초 라벤더 향쑥,서양종보리수,Line Tree Linder,부부애,루비,"열정적인 사랑, 정의, 마음의 평화",에피도트,과거로부터의 해방,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#009E9F,피콕 클루 / 페르시안 그린,"깊은 애정, 조화, 우정",자신을 알고 갈고 닦는 사람
7월 31일,금어초 라벤더 향쑥,호박,Pumpkin,광대함,루비,"열정적인 사랑, 정의, 마음의 평화",레드지르콘,평안,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#044D78,페르시안 블루 / 다크 세르리언,"신비적 쿨함, 밝음",표정을 드러내지 않고 속으로 감동하는 사람
8월,,,,,,,,,,,,,,,,,,
8월 1일,수박풀 엘리카 석류,빨간 양귀비,Papaver,위로,페리도트,"부부간의 행복, 지혜, 친구와의 화합",시트린,달콤한 추억,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#438CB5,블루 셸 / 큐리어스 블루,"사교적, 참을성, 성실",모두에게 성실한 사교적인 사람
8월 2일,수박풀 엘리카 석류,수레국화,Corn Flower,행복,페리도트,"부부간의 행복, 지혜, 친구와의 화합",블루 쿼츠,생명의 탄생,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#0098D4,페일 요트 블루 / 퍼시픽 블루,"지능,책임, 스피디",내향적이고 격식을 중요시하는 보수주의자
8월 3일,수박풀 엘리카 석류,수박풀,Flower of an Hour,아가씨의 아름다운 자태,페리도트,"부부간의 행복, 지혜, 친구와의 화합",크리스베릴 캣츠 아이,황금의 눈동자,"편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#409ECC,요트 블루 / 바이킹,"근엄, 완벽주의, 인맥",사람을 마음 깊은 곳에서 믿는 믿음직한 사람
8월 4일,수박풀 엘리카 석류,옥수수,Corn Flower,재보,페리도트,"부부간의 행복, 지혜, 친구와의 화합",마카사이트,"추억, 동경","편백나무
(노송나무)",신의,사자자리,태양의 신 아폴론,태양,,#0063A7,시안 블루 / 세르리언,"기품있음, 품격, 정점",끈기 있고 곤란한 상황에도 맞서는 인내심 있는 사람
8월 5일,수박풀 엘리카 석류,엘리카,Heath,고독,페리도트,"부부간의 행복, 지혜, 친구와의 화합",캣츠 아이 문스콘,사랑의 기회,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#1E50A2,유리색 / 인데버,"온화함, 신뢰, 존경",사람들에게 사랑받고 존경받는 사람
8월 6일,수박풀 엘리카 석류,능소화,Trumpet Flower,명예,페리도트,"부부간의 행복, 지혜, 친구와의 화합",다크그린 지르콘,정신의 위한,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#004C97,라피스라즐리 / 코발트,"조야와 고귀, 교양",배려 넘치는 지적인 사람
8월 7일,수박풀 엘리카 석류,석류,Pomagranate,원숙한 아름다움,페리도트,"부부간의 행복, 지혜, 친구와의 화합",옐로우 애퍼타이트,의혹,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#02428C,로열블루 / 다크 세르리언,"매력적, 재치",지식을 추구하여 달려가는 참색가
8월 8일,수박풀 엘리카 석류,진달래,Azalea,사랑의 희열,페리도트,"부부간의 행복, 지혜, 친구와의 화합",루틸,사랑의 화살,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#164A84,감리색 / 다크 세르리언,"직관, 소박, 승부",직관의 저 너머를 바라보는 사람
8월 9일,수박풀 엘리카 석류,시스터스,Cistus,인기,페리도트,"부부간의 행복, 지혜, 친구와의 화합",캐커파이라이트,망각의 제거,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#202F55,네이비 블루 / 번팅,"지적, 문화, 세련",질 나쁜 것을 싫어하는 로맨티스트
8월 10일,수박풀 엘리카 석류,이끼,Moss,모성애,페리도트,"부부간의 행복, 지혜, 친구와의 화합",아이오라이트,영적 능력을 높이다,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#3F61A1,하이드렌지 블루 / 마리너,"예술, 재능, 표현력",감성을 갈고 닦아 아름답게 나타내는 예술가
8월 11일,수박풀 엘리카 석류,빨강무늬제라늄,Geranium Zonal,위안,페리도트,"부부간의 행복, 지혜, 친구와의 화합",옐로우 사파이어,집중력,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#55295B,뽕열매색 / 핫 퍼플,"직관, 신념, 종교",정신세계를 느끼기 쉬운 신비주의자
8월 12일,수박풀 엘리카 석류,협죽도,Oleander,위험,페리도트,"부부간의 행복, 지혜, 친구와의 화합",칸커 아게이트,자연의 행방,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#A6A5C4,회동나무색 / 위스풀,"정열, 고독, 절도",자신의 존재를 바라보는 로맨티스트
8월 13일,수박풀 엘리카 석류,골든로드,Golden Rod,경계,페리도트,"부부간의 행복, 지혜, 친구와의 화합",옐로우 지르콘,출산의 슬픔,"미루나무
(포플러나무)",불확실,사자자리,태양의 신 아폴론,태양,,#83CCD2,백군색 / 스프레이,"감성, 기민, 신념",견실한 인품으로 신뢰와 존경받는 사람
8월 14일,수박풀 엘리카 석류,저먼더,Wall Germander,경애,페리도트,"부부간의 행복, 지혜, 친구와의 화합",파이어 오팔,사랑하는 사람,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#4CB8E7,미요조티 / 서머 스카이,"빛나는 미성, 생기, 표현력",사람의 마음을 정점으로 이끄는 미성의 소유자
8월 15일,수박풀 엘리카 석류,해바라기,Sun Flower,광휘,페리도트,"부부간의 행복, 지혜, 친구와의 화합",블루레스 아게이트,영혼의 움직임,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#FFD900,노란색 / 스쿨 버스 옐로,"재치, 상냥한 마음, 가정적",따뜻한 애정으로 자란 총명한 사람
8월 16일,수박풀 엘리카 석류,타마린드,Tamarindus,사치,페리도트,"부부간의 행복, 지혜, 친구와의 화합",래브라도라이트,사모,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#FFFA9C,라이트 크림 / 카나리아,"감성, 의사, 리듬",감성을 움직여 리듬으로 표현하는 천재
8월 17일,수박풀 엘리카 석류,튤립나무,Tulip-Tree,전원의 행복,페리도트,"부부간의 행복, 지혜, 친구와의 화합",파이라이트,보호력,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#FFF97D,프림로즈옐로 / 위치 헤이즈,"사랑과 우정, 호기심, 탐구심",선명한 소녀시절을 보낸 순진무구한 사람
8월 18일,수박풀 엘리카 석류,접시꽃,Holly Hock,열렬한 사랑,페리도트,"부부간의 행복, 지혜, 친구와의 화합",오렌지 펄,회복,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#F6AD49,유자색 / 마이 신,"지고, 명랑, 자유",정신을 중시하는 현자
8월 19일,수박풀 엘리카 석류,로사 캠피온,Rosa Campion,성실,페리도트,"부부간의 행복, 지혜, 친구와의 화합",캘사이트,영화와 번영,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#F79101,골든 오렌지 / 다크 오렌지,"제멋대로, 선구자",넘버 원을 추구하는 긍지 높은 사람
8월 20일,수박풀 엘리카 석류,프리지아,Freesia,순결,페리도트,"부부간의 행복, 지혜, 친구와의 화합",스타 루비,중심,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#F08300,밀감색 / 탄저린,"에너지, 대망,현실",몸과 마음 모두 건강한 현실주의자
8월 21일,수박풀 엘리카 석류,짚신나물,Agrimony,감사,페리도트,"부부간의 행복, 지혜, 친구와의 화합",제트,망각,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#DD7A56,계수색 / 테라 코타,"에너지, 인간관계",밸런스 좋게 전체를 통합하는 지도자
8월 22일,수박풀 엘리카 석류,스피리아,Sprirea,노력,페리도트,"부부간의 행복, 지혜, 친구와의 화합",화이트 코랄,정격,삼나무,자신감,사자자리,태양의 신 아폴론,태양,,#FFCC83,골든 콘 / 체로키,"감정이입, 창작력",독특함이 가득한 마음의 소유자
8월 23일,수박풀 엘리카 석류,서양종 보리수,"Lime Tree, Linden",부부애,페리도트,"부부간의 행복, 지혜, 친구와의 화합",이오스포라이트,변치않는 사랑을 바치다,삼나무,자신감,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#FEAE01,딥 선플라워 / 오렌지,"타이밍, 미학센스",사물을 양측에서 볼 수 있는 창조자
8월 24일,수박풀 엘리카 석류,금잔화,Calendula,이별의 슬픔,페리도트,"부부간의 행복, 지혜, 친구와의 화합",러버,연인,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#C4972F,옐로 오커 / 너겟,"노력, 트레이닝, 행동",자신을 더 끌어올리려는 노력가
8월 25일,수박풀 엘리카 석류,안스륨,Flaming Flower,사랑에 번민하는 마음,페리도트,"부부간의 행복, 지혜, 친구와의 화합",파이어 아게이트,정념,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#CAAC71,바흐 / 푸티,"절도, 평화, 우아",인간관계를 소중히 하는 예의바른 사람
8월 26일,수박풀 엘리카 석류,하이포리스 오리어,Hypoxis Aurea,빛을 찾다,페리도트,"부부간의 행복, 지혜, 친구와의 화합",터콰이즈 블루,신선한 사랑,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#7D541C,연초색 / 핫 커리,"견실, 조직력, 현실주의",자신이 우위에 서길 바라는 지도자
8월 27일,수박풀 엘리카 석류,고비,Osumunda,몽상,페리도트,"부부간의 행복, 지혜, 친구와의 화합",아파타이트,혼동,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#A0D8EF,스카이블루 / 샬롯,"심려원모, 패션",어떤 옷이든 어울리는 로맨티스트
8월 28일,수박풀 엘리카 석류,에린지움,Eryngium,비밀스런 애정,페리도트,"부부간의 행복, 지혜, 친구와의 화합",핑크 코랄,자비로운 사랑,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#5D9CBF,아쿠아그레이 / 셰익스피어,"예술, 감성, 상상력",많은 분야에서 주역을 원하는 크리에이터
8월 29일,수박풀 엘리카 석류,꽃담배,Flowering Tabacco Plant,그대가 있어 외롭지 않네,페리도트,"부부간의 행복, 지혜, 친구와의 화합",캑터스 아메시스트,변화,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#4B7CB6,페일 갤비어 블루 / 스틸 블루,"향긋함, 헌신, 기품",인맥쌓기가 특기인 신중파
8월 30일,수박풀 엘리카 석류,저먼더,Wall Germander,담백,페리도트,"부부간의 행복, 지혜, 친구와의 화합",레인보우 옵시디언,각양각색,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#356CAC,울트라 마린 / 로쉬마라,"모성애, 음악, 기품",마음의 현을 켜는 사람
8월 31일,수박풀 엘리카 석류,토끼풀,Clover,약속,페리도트,"부부간의 행복, 지혜, 친구와의 화합",모스 아게이트,마음의 영양,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#460E44,자감색 / 마르디 그라스,"자기관리, 권엄, 고압적",사람의 위에 서는 오피니언 리더
9월,,,,,,,,,,,,,,,,,,
9월 1일,뱀무 알로에 엉겅퀴,호랑이꽃,Tiger Flower,나를 사랑해주세요,사파이어,"진실, 정직, 성실",덴더나이트,긍지높은 사람,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#7DBB7C,프레쉬그린 / 드 요크,"교양, 섬세, 신중함",상냥한 목소리로 꽃피우는 연애소설의 여주인공
9월 2일,뱀무 알로에 엉겅퀴,멕시칸 아이비,Cobaea,변화,사파이어,"진실, 정직, 성실",그레이 펄,쟁취하는 사랑,소나무,독특,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#368A56,목초색 / 씨 그린,"완고, 공명정대, 노력",자기희생도 마다하지 않는 존경할 만한 사람
9월 3일,뱀무 알로에 엉겅퀴,마거리트,Marguerite,마음속에 감춘 사랑,사파이어,"진실, 정직, 성실",레드 다이아몬드,탄생의 비밀,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#016257,홀리 그린 / 모스크,"지각, 상냥함, 창작의욕",유토피아를 꿈꾸는 문학소녀
9월 4일,뱀무 알로에 엉겅퀴,뱀무,Geum,만족된 사랑,사파이어,"진실, 정직, 성실",스핀,우주적 의사소통,수양버들,우울,처녀자리,"지혜와 목동, 나그네의 신 헤르메스",수성,,#006B35,빌리젼 / 펀 그린,"호기심, 스릴, 자발적",냉정한 판단력이 있는 객관적인 사람
